issue_num,issue_title,option_num,option_text,Civil Rights,Economy,Political Freedom,Wealth Gaps,Death Rate,Compassion,Eco-Friendliness,Social Conservatism,Nudity,Industry: Automobile Manufacturing,Industry: Cheese Exports,Industry: Basket Weaving,Industry: Information Technology,Industry: Pizza Delivery,Industry: Trout Fishing,Industry: Arms Manufacturing,Sector: Agriculture,Industry: Beverage Sales,Industry: Timber Woodchipping,Industry: Mining,Industry: Insurance,Industry: Furniture Restoration,Industry: Retail,Industry: Book Publishing,Industry: Gambling,Sector: Manufacturing,Government Size,Welfare,Public Healthcare,Law Enforcement,Business Subsidization,Religiousness,Income Equality,Niceness,Rudeness,Intelligence,Ignorance,Political Apathy,Health,Cheerfulness,Weather,Compliance,Safety,Lifespan,Ideological Radicality,Defense Forces,Pacifism,Economic Freedom,Taxation,Freedom From Taxation,Corruption,Integrity,Authoritarianism,Employment,Public Transport,Tourism,Weaponization,Recreational Drug Use,Obesity,Secularism,Environmental Beauty,Charmlessness,Averageness,Human Development Index,Primitiveness,Scientific Advancement,Inclusiveness,Average Income,Average Income of Poor,Average Income of Rich,Public Education,Crime,Foreign Aid,Average Disposable Income,Patriotism,Food Quality,Accessibility,Youth Rebelliousness,Culture
0,#0 Should Democracy Be Compulsory?,1,1. voting is voluntary,-0.0024,0.0029,2.7153,-0.0006,-0.0073,0.0006,0.0081,0.0019,0.4299,0.3796,-0.4003,-0.1802,-0.444,0.2159,-1.2752,0.2154,0.0212,0.8206,0.9163,0.4016,0.085,0.3217,0.4756,0.5528,-7.5958,0.4139,-0.0001,0.1698,0.0608,-0.0604,-0.0603,0.0332,-0.0021,0.0002,1.4747,0.5452,-0.6497,1.7237,-0.0007,-0.0002,-0.0131,0.0737,1.0442,0.0045,-0.2788,0.046,0.1172,0.0002,0.0026,-0.0023,-1.0412,0.1302,-81.1466,0.0023,0.072,4.3144,-0.0027,0.3367,0.0018,0.0007,-0.1627,-0.2031,0.2788,0.0016,0.002,-0.0007,-0.0013,-6.1371,-0.9264,-22.7393,0.228,-0.0532,0.0395,-5.6517,-1.2798,-0.0046,-0.0115,,
0,#0 Should Democracy Be Compulsory?,2,2. voting is compulsory,-0.0016,-0.0012,-3.2413,-0.001,0.016,0.0007,0.0469,-0.0001,0.0301,-0.6164,-0.1935,-0.2205,-0.0656,-0.5086,-0.5091,-1.7535,-0.2405,-0.7432,-0.13,0.1657,0.7907,-0.0818,0.0116,0.1436,11.3279,-2.5902,0.0001,-0.0175,0.0945,0.0149,0.0659,-0.0237,0.0008,0.0005,-1.9925,-0.7341,0.8043,-1.3696,0.0026,,0.0045,-0.1136,-1.5892,-0.0068,-1.2138,0.002,-0.1509,-0.0019,-0.0016,0.0043,0.4197,-0.1507,37.6639,0.0016,0.013,3.997,0.0046,-0.2189,-0.0015,0.0035,0.0016,-0.0916,1.2138,-0.0027,0.0022,0.0014,0.0043,7.7801,4.5328,9.8757,0.2817,0.0871,0.0169,6.6182,0.884,0.0006,-0.0119,,
0,#0 Should Democracy Be Compulsory?,3,3. elections have been outlawed,0.0016,0.0082,-15.1486,0.0002,0.0976,0.001,0.5778,-0.0003,0.0035,-1.7603,-0.3345,-0.7504,-0.1472,-0.446,-1.1255,0.4056,-0.1871,-0.0845,0.8625,-0.0896,-0.6376,-0.7043,-0.5497,-0.7081,38.53,-2.1053,0.0004,-0.0604,0.0873,0.3027,0.2775,,-0.0096,-0.0018,-9.3222,-2.8971,3.4012,-0.0002,-0.0001,-0.0019,-0.0142,-0.4227,-5.3449,-0.036,2.3037,0.2409,-0.6103,0.0057,-0.0138,0.0226,6.1702,-0.589,409.7975,-0.0034,0.2371,-27.2804,0.021,-0.0039,-0.0002,,-0.1518,1.755,-2.3037,-0.0105,-0.029,0.0712,-0.0003,34.7672,16.5001,70.6756,0.0355,0.3074,0.0421,30.9843,0.0032,0.0017,-0.0914,0.0008,0.0008
1,#1 Where's the Love Gone?,1,1/2. divorce is illegal,-5.9147,,,,-0.3117,0.0014,0.1882,5.6916,-7.8684,2.6009,2.2398,2.9975,2.756,2.98,2.8963,-0.7211,1.9201,-98.6838,3.3037,3.0604,60.0801,2.1447,-0.0523,2.5407,-49.1723,4.8783,-0.0009,1.2748,1.1094,1.181,0.2571,35.8336,,-0.5035,1.4636,-1.1068,1.2855,,-0.0003,-0.471,-0.9947,0.5005,1.5982,0.0948,-0.3993,-0.1957,4.0959,,0.0435,-0.0767,,,78.6072,-0.0128,0.6553,7.1139,-0.1261,-11.0191,-0.0154,-0.3218,0.0032,-0.6897,0.3993,0.0318,,-0.0079,,-77.3834,-33.2107,-178.5638,1.4117,-0.4233,0.1634,-83.0134,0.1987,-0.0013,-2.2822,-0.9894,
1,#1 Where's the Love Gone?,2,"3. married couples must call each other ""darling"" or risk a fine",-1.6802,0.0093,,0.0004,-0.0241,0.0011,0.1154,1.6071,-3.1887,0.062,0.0674,0.128,0.8629,0.2668,0.0654,-0.0774,0.317,0.2417,0.8382,1.1345,0.0802,0.0563,0.0593,0.0535,-4.3534,0.1107,-0.0001,0.3216,0.0654,0.21,0.0878,0.1952,-0.0137,0.0007,-1.4909,-0.2985,0.3914,,-0.0002,,-0.0057,0.0489,0.1586,0.0091,-0.1255,0.2751,1.0107,0.0093,0.0009,0.0002,,,18.8985,0.0007,0.1914,1.8677,-0.0286,-2.7279,0.0009,0.0033,-0.0373,-0.1103,0.1255,0.0051,,,-0.0202,2.4946,-0.2051,4.9598,0.3142,-0.0417,0.1583,0.1264,0.053,-0.0051,-0.5067,,
1,#1 Where's the Love Gone?,3,4. same-sex marriages are increasingly common,2.5227,-0.0004,-0.0043,-0.0007,0.0167,0.0019,0.1128,-2.6886,5.4124,1.4372,-0.1084,-0.0986,-0.0445,-0.3236,-0.633,0.1787,-0.152,-0.2815,-0.0278,-0.1093,-0.2408,0.1275,-0.2799,-0.0387,7.3593,1.5168,0.0005,0.1712,0.2483,0.3089,0.2865,-0.0004,0.0063,0.0016,-0.0029,0.4873,-0.5553,0.0019,0.0003,0.0002,-0.0023,-0.0752,-0.2267,-0.0104,0.4822,0.2277,-1.7807,0.0003,-0.0007,-0.0009,-0.0009,0.0001,-32.3566,0.0002,0.1333,-5.4497,0.0368,5.0184,-0.0002,0.0008,-0.0433,0.1956,-0.4822,-0.0029,-0.0083,0.0185,7.1647,7.7589,9.512,2.365,0.2446,0.059,0.0852,4.5862,-0.1038,2.8521,5.5295,,
2,#2 Reclaim the Streets!,1,1. cars are banned,-1.2522,-3.5077,-0.0051,-0.9428,-0.6748,0.0021,263.3961,1.2779,-2.2794,-1489.6032,44.6661,-87.9234,-53.2806,9.1024,312.8843,-10.5348,97.6511,-78.1431,-60.4871,-70.8717,-74.3007,-55.4126,-61.7362,-79.5385,-82.7709,-1587.0985,0.1636,-88.2084,-60.3653,-53.1937,-13.1042,,3.7513,0.0012,-3.1049,-0.2339,0.2326,,0.3687,,8.8916,0.3672,1.1978,0.154,0.423,-60.1823,1.346,-3.677,0.7671,-2.5483,0.0005,-0.0002,134.6234,-1.137,-42.1857,69.1162,-0.0266,-6.4183,-3.7262,,86.6986,-1.63,-0.423,-0.6368,23.5885,-23.8921,0.0068,-1713.9096,422.1104,-8432.9124,-73.7852,-0.2657,-26.753,-1523.7161,0.0419,0.5641,1.0788,,0.0007
2,#2 Reclaim the Streets!,2,2. bicyclists are banned from major roads,-0.0104,0.0037,-1.6673,0.0012,-0.0604,-0.0021,-1.8756,0.0122,-0.0286,690.3834,-51.6531,-2.6541,-6.0201,-68.0652,-199.5929,-8.898,-85.9463,-1.4368,-4.5052,-7.1638,-3.0218,-3.1648,-4.1753,-3.2583,-59.9127,677.8424,0.1257,-2.1955,-3.3498,230.0639,-4.1549,0.0682,-0.0056,-0.0023,-1.0914,-0.3848,0.4199,,0.0017,,-1.9647,0.5188,2.7124,0.0171,-0.098,-5.7101,0.8,0.0037,0.4172,-0.9938,0.5272,-0.0697,39.939,0.0589,-2.1566,-2.8858,-0.0204,-0.48,0.0838,0.0001,-25.0623,0.0079,0.098,0.0068,-0.0004,0.0002,0.007,72.058,36.691,180.721,-3.9568,-0.3884,-0.8092,-172.8175,-0.0019,-0.3361,-1.0029,,
2,#2 Reclaim the Streets!,3,3. the automotive industry soaks up huge government handouts,-0.0122,1.8693,-0.0024,-0.0055,-0.2117,0.0015,6.4879,0.0158,-0.0358,1290.9293,-96.7385,45.6242,47.1758,-32.736,-436.0981,45.2022,-163.6419,22.7268,33.9472,36.9131,37.2484,31.4438,35.5735,42.2381,35.9575,1380.4642,0.1192,24.2986,19.8178,22.4929,230.8679,-0.0742,-0.0015,0.0013,-0.0018,-0.0007,-0.0004,-0.0002,0.002,,-5.9271,0.0011,0.0237,0.129,-0.0071,26.1279,0.0583,-0.0014,0.5339,-1.1378,-0.0002,-0.0001,0.0481,0.0482,11.86,-44.7568,-0.0015,-0.3074,0.2149,0.0006,-72.8454,2.4922,0.0071,0.5474,-0.0036,0.0039,0.001,803.0905,373.6595,2015.0987,25.9775,-0.0009,5.3959,312.5669,0.0002,-0.976,-1.5779,,0.0012
3,#3 Harry Potter Censorship Row,1,1/2. Harry Potter books are banned,-2.9319,0.0126,-0.012,0.0013,-0.027,-0.0005,3.4851,2.8327,-5.786,11.3714,11.6553,15.6466,19.8247,67.8483,14.3288,32.3899,13.1039,8.506,16.168,22.6525,12.016,14.0407,15.9582,-817.4922,15.7676,59.4042,0.0432,6.5113,8.5922,13.9148,7.9808,9.039,-0.0147,-0.001,0.0019,-1.3796,1.5887,-0.0004,-0.0004,-0.0003,-0.033,-0.0267,-0.0103,0.0126,0.0762,13.6585,1.7148,0.0112,0.4504,-0.9304,0.0054,-0.0006,56.425,-0.1405,5.0754,-1.0694,-0.0447,-5.0537,0.0145,-0.1029,-0.469,0.0176,-0.0762,-0.0722,0.5215,-0.5395,-0.0062,-297.5126,-133.8353,-687.8682,-66.2007,0.0047,1.9751,-473.9249,0.0961,-0.0374,-1.273,,0.0007
